"Label (Grouping)","Civilian employed population 16 years and over","Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Civilian employed population 16 years and over!!Service occupations","Civilian employed population 16 years and over!!Sales and office occupations","Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.5%","17.2%","10.4%","6.8%","2.4%","1.2%"
"        Margin of Error","±0.8","±1.4","±1.6","±1.4","±0.9","±0.5"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","18.5%","22.9%","19.6%","13.7%","9.0%","12.2%"
"        Margin of Error","±0.8","±1.4","±2.1","±1.8","±2.3","±3.0"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.2%","4.2%","7.8%","3.5%","11.1%","4.9%"
"        Margin of Error","±0.5","±0.7","±1.6","±0.9","±2.8","±2.8"
"Schenectady County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","73,971","31,619","12,829","15,666","5,961","7,896"
"        Margin of Error","±1,278","±1,195","±792","±942","±589","±622"
"    Employee of private company workers","","","","","",""
"        Estimate","60.5%","46.1%","63.2%","68.9%","81.6%","81.0%"
"        Margin of Error","±1.4","±2.4","±4.1","±2.7","±3.6","±3.4"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.0%","2.6%","1.4%","1.6%","2.1%","1.5%"
"        Margin of Error","±0.3","±0.6","±0.7","±0.7","±1.1","±0.8"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","14.1%","22.0%","13.5%","8.5%","1.5%","3.9%"
"        Margin of Error","±1.1","±2.1","±2.5","±1.6","±0.9","±1.8"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","19.4%","25.8%","15.7%","18.4%","8.1%","10.0%"
"        Margin of Error","±1.2","±2.1","±2.3","±2.5","±2.3","±2.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.1%","3.5%","6.2%","2.7%","6.7%","3.5%"
"        Margin of Error","±0.5","±0.8","±1.7","±0.8","±2.5","±1.6"
"Schoharie County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","13,649","5,020","2,220","2,635","1,886","1,888"
"        Margin of Error","±397","±329","±242","±271","±204","±207"
"    Employee of private company workers","","","","","",""
"        Estimate","56.4%","39.8%","51.4%","63.0%","71.4%","81.9%"
"        Margin of Error","±2.0","±3.8","±5.4","±5.6","±6.2","±3.9"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.3%","3.7%","2.9%","3.4%","4.3%","1.4%"
"        Margin of Error","±0.7","±1.4","±1.7","±2.0","±2.2","±1.0"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.8%","15.9%","14.0%","5.7%","0.8%","3.6%"
"        Margin of Error","±1.5","±3.2","±4.7","±2.3","±0.9","±2.6"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","22.8%","30.5%","24.6%","24.1%","10.7%","10.5%"
"        Margin of Error","±1.9","±3.4","±4.6","±5.2","±4.2","±2.8"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","7.7%","10.0%","7.1%","3.8%","12.8%","2.6%"
"        Margin of Error","±1.2","±2.6","±2.4","±1.4","±4.1","±1.5"
"Schuyler County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","8,152","2,811","1,675","1,638","799","1,229"
"        Margin of Error","±298","±278","±233","±178","±140","±190"
"    Employee of private company workers","","","","","",""
"        Estimate","56.1%","40.7%","51.8%","58.7%","63.5%","89.0%"
"        Margin of Error","±3.6","±5.1","±8.3","±7.7","±9.1","±5.1"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.8%","3.6%","2.7%","1.3%","4.4%","1.9%"
"        Margin of Error","±1.1","±2.2","±2.6","±0.8","±3.7","±1.6"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.3%","17.3%","16.6%","16.0%","2.0%","3.2%"
"        Margin of Error","±2.7","±3.2","±7.5","±6.4","±2.1","±3.1"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","19.6%","30.3%","16.7%","20.3%","12.4%","3.0%"
"        Margin of Error","±2.6","±5.2","±5.8","±5.0","±4.9","±1.7"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","8.2%","8.1%","12.1%","3.7%","17.8%","2.9%"
"        Margin of Error","±1.7","±2.4","±4.5","±2.7","±8.1","±2.1"
"Seneca County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","15,271","5,252","2,640","3,104","2,220","2,055"
"        Margin of Error","±506","±396","±289","±356","±300","±204"
"    Employee of private company workers","","","","","",""
"        Estimate","59.1%","43.9%","54.5%","62.0%","74.6%","82.7%"
"        Margin of Error","±2.7","±5.0","±5.5","±5.7","±4.8","±4.5"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.0%","4.6%","1.7%","3.4%","2.0%","0.9%"
"        Margin of Error","±0.8","±1.6","±1.3","±1.6","±1.0","±0.6"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","12.9%","18.2%","16.1%","13.0%","4.4%","4.3%"
"        Margin of Error","±1.9","±3.8","±4.3","±5.6","±2.9","±3.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","17.8%","24.0%","22.5%","17.8%","6.5%","7.7%"
"        Margin of Error","±1.8","±3.3","±4.3","±4.3","±2.5","±2.3"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","7.3%","9.2%","5.2%","3.9%","12.5%","4.3%"
"        Margin of Error","±1.1","±2.2","±2.1","±1.9","±3.6","±2.3"
"Steuben County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","42,386","16,435","6,837","7,740","4,811","6,563"
"        Margin of Error","±769","±625","±445","±431","±375","±452"
"    Employee of private company workers","","","","","",""
"        Estimate","60.6%","47.1%","53.2%","74.9%","64.0%","82.8%"
"        Margin of Error","±1.5","±2.3","±3.3","±3.0","±4.0","±2.4"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.6%","4.4%","2.4%","3.0%","6.2%","1.5%"
"        Margin of Error","±0.6","±1.0","±1.1","±1.4","±2.2","±0.8"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.1%","17.7%","12.6%","6.8%","3.1%","3.6%"
"        Margin of Error","±0.9","±1.6","±2.3","±1.7","±1.2","±1.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","17.3%","24.0%","22.3%","10.5%","12.1%","7.4%"
"        Margin of Error","±1.0","±2.0","±2.5","±2.0","±2.2","±1.8"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","7.4%","6.8%","9.4%","4.9%","14.7%","4.7%"
"        Margin of Error","±0.7","±1.1","±1.7","±1.4","±3.3","±1.5"
"Suffolk County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","776,067","329,216","128,180","176,696","68,400","73,575"
"        Margin of Error","±4,461","±4,453","±2,612","±2,816","±2,570","±2,097"
"    Employee of private company workers","","","","","",""
"        Estimate","63.5%","52.7%","59.3%","75.6%","74.0%","80.5%"
"        Margin of Error","±0.5","±0.7","±1.2","±0.8","±1.5","±1.3"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","5.6%","6.2%","3.7%","5.1%","9.7%","3.2%"
"        Margin of Error","±0.2","±0.4","±0.4","±0.4","±1.1","±0.6"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","8.0%","12.0%","7.1%","5.1%","2.2%","3.6%"
"        Margin of Error","±0.3","±0.5","±0.6","±0.4","±0.5","±0.6"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","18.4%","24.4%","24.0%","11.1%","7.8%","9.3%"
"        Margin of Error","±0.4","±0.6","±0.9","±0.7","±0.9","±0.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.6%","4.7%","5.9%","3.2%","6.3%","3.3%"
"        Margin of Error","±0.2","±0.3","±0.6","±0.3","±0.8","±0.6"
"Sullivan County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","32,767","11,959","7,553","6,037","3,084","4,134"
"        Margin of Error","±942","±812","±713","±529","±421","±502"
"    Employee of private company workers","","","","","",""
"        Estimate","55.1%","41.3%","48.1%","67.8%","65.8%","81.5%"
"        Margin of Error","±2.2","±2.9","±5.0","±4.8","±5.5","±4.3"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.2%","4.0%","0.7%","4.0%","6.5%","1.9%"
"        Margin of Error","±0.7","±1.3","±0.5","±1.9","±3.2","±1.7"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","14.4%","21.0%","16.6%","8.7%","6.1%","6.1%"
"        Margin of Error","±1.7","±2.9","±3.9","±2.8","±3.3","±3.4"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","19.9%","26.2%","25.3%","14.7%","8.5%","7.8%"
"        Margin of Error","±1.6","±2.6","±3.9","±3.2","±3.6","±2.8"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","7.3%","7.5%","9.2%","4.8%","13.1%","2.6%"
"        Margin of Error","±1.3","±1.8","±2.5","±1.4","±4.1","±1.6"
"Tioga County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","22,806","8,449","3,580","4,700","2,667","3,410"
"        Margin of Error","±634","±520","±397","±428","±334","±391"
"    Employee of private company workers","","","","","",""
"        Estimate","63.3%","50.5%","56.7%","70.9%","68.1%","87.4%"
"        Margin of Error","±1.9","±3.1","±5.5","±4.1","±5.9","±3.8"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.5%","2.8%","0.9%","2.8%","5.7%","0.4%"
"        Margin of Error","±0.7","±1.3","±0.8","±2.0","±3.4","±0.4"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","12.9%","19.5%","14.5%","10.9%","7.8%","1.6%"
"        Margin of Error","±1.6","±3.0","±3.2","±3.1","±3.4","±1.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","15.7%","22.1%","16.1%","12.9%","10.5%","7.6%"
"        Margin of Error","±1.8","±3.1","±4.1","±3.4","±4.5","±3.7"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.6%","5.1%","11.8%","2.4%","8.0%","3.0%"
"        Margin of Error","±1.2","±1.9","±3.5","±1.3","±3.6","±2.1"
"Tompkins County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","52,043","28,694","8,146","9,160","2,503","3,540"
"        Margin of Error","±1,329","±1,110","±752","±762","±312","±550"
"    Employee of private company workers","","","","","",""
"        Estimate","47.7%","34.8%","59.7%","62.3%","56.1%","80.5%"
"        Margin of Error","±1.8","±2.5","±4.2","±3.7","±7.6","±4.3"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.5%","3.5%","3.4%","4.0%","3.6%","2.0%"
"        Margin of Error","±0.8","±0.9","±1.9","±2.3","±2.3","±1.9"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","27.9%","39.1%","14.8%","17.2%","10.9%","5.8%"
"        Margin of Error","±1.6","±2.5","±3.0","±2.7","±5.8","±2.6"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","14.9%","16.0%","15.6%","12.8%","19.6%","6.4%"
"        Margin of Error","±1.3","±1.9","±3.6","±2.4","±7.5","±3.0"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.1%","6.5%","6.4%","3.7%","9.7%","5.3%"
"        Margin of Error","±0.7","±1.0","±1.7","±1.3","±4.0","±2.4"
"Ulster County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","87,627","35,358","17,741","17,116","8,581","8,831"
"        Margin of Error","±1,365","±1,354","±1,305","±885","±777","±660"
"    Employee of private company workers","","","","","",""
"        Estimate","57.7%","42.7%","58.7%","70.9%","66.4%","81.5%"
"        Margin of Error","±1.7","±2.3","±3.6","±2.8","±4.3","±3.4"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","5.1%","6.4%","3.7%","4.4%","6.7%","2.2%"
"        Margin of Error","±0.7","±1.3","±1.4","±1.3","±1.9","±1.0"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","10.9%","17.9%","10.3%","5.8%","1.8%","3.1%"
"        Margin of Error","±0.9","±1.8","±1.9","±1.2","±1.1","±1.7"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","17.6%","23.5%","18.7%","12.5%","11.6%","7.7%"
"        Margin of Error","±1.1","±1.9","±2.1","±1.8","±2.7","±2.1"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","8.7%","9.5%","8.6%","6.4%","13.5%","5.5%"
"        Margin of Error","±0.9","±1.3","±2.0","±1.3","±3.1","±1.8"
"Warren County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","32,401","12,915","6,134","7,193","2,466","3,693"
"        Margin of Error","±764","±682","±600","±515","±307","±545"
"    Employee of private company workers","","","","","",""
"        Estimate","57.5%","41.7%","55.0%","72.8%","63.4%","82.9%"
"        Margin of Error","±2.1","±3.0","±5.6","±3.5","±6.4","±4.7"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.4%","4.5%","1.5%","3.4%","5.0%","1.5%"
"        Margin of Error","±0.6","±1.1","±0.8","±1.4","±2.9","±1.6"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.9%","20.2%","11.1%","6.2%","1.6%","2.5%"
"        Margin of Error","±1.2","±2.7","±2.5","±1.9","±1.2","±2.1"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","20.0%","25.9%","23.9%","12.6%","15.2%","10.3%"
"        Margin of Error","±1.7","±3.1","±5.5","±2.8","±4.4","±4.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","7.2%","7.6%","8.5%","5.0%","14.8%","2.8%"
"        Margin of Error","±1.1","±2.0","±2.4","±1.7","±4.2","±1.8"
"Washington County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","28,320","9,124","4,865","6,313","3,380","4,638"
"        Margin of Error","±781","±632","±502","±606","±391","±522"
"    Employee of private company workers","","","","","",""
"        Estimate","62.6%","42.1%","54.4%","78.1%","71.4%","84.3%"
"        Margin of Error","±2.0","±3.3","±5.0","±3.8","±6.2","±4.7"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.7%","3.6%","1.8%","2.3%","4.6%","1.3%"
"        Margin of Error","±0.8","±1.2","±1.0","±1.6","±2.6","±0.9"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.5%","20.7%","15.6%","6.6%","0.3%","3.7%"
"        Margin of Error","±1.7","±3.6","±4.8","±1.9","±0.4","±2.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","16.2%","24.5%","20.8%","9.8%","12.0%","7.1%"
"        Margin of Error","±1.7","±3.3","±3.8","±2.3","±4.9","±3.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","7.0%","9.1%","7.5%","3.3%","11.7%","3.7%"
"        Margin of Error","±1.1","±2.3","±2.4","±1.8","±3.3","±2.1"
"Wayne County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","44,290","15,583","7,233","9,274","4,822","7,378"
"        Margin of Error","±931","±795","±657","±733","±495","±567"
"    Employee of private company workers","","","","","",""
"        Estimate","66.8%","51.5%","59.4%","78.1%","74.4%","87.1%"
"        Margin of Error","±1.5","±2.6","±3.4","±3.6","±4.2","±2.3"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.5%","2.9%","1.9%","3.0%","4.2%","0.8%"
"        Margin of Error","±0.7","±1.0","±1.1","±2.2","±2.4","±0.6"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.9%","16.9%","11.2%","6.7%","2.2%","3.2%"
"        Margin of Error","±0.9","±2.0","±2.6","±2.0","±1.5","±1.4"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","15.0%","21.9%","21.3%","8.7%","8.6%","6.7%"
"        Margin of Error","±1.1","±1.9","±3.1","±2.2","±2.3","±1.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.7%","6.9%","6.2%","3.5%","10.6%","2.2%"
"        Margin of Error","±0.9","±1.8","±1.6","±1.1","±3.0","±1.0"
"Westchester County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","496,860","251,980","83,216","93,911","33,951","33,802"
"        Margin of Error","±3,308","±3,752","±2,629","±2,362","±1,590","±1,526"
"    Employee of private company workers","","","","","",""
"        Estimate","61.5%","53.0%","61.4%","74.9%","72.0%","77.9%"
"        Margin of Error","±0.7","±0.9","±1.6","±1.1","±2.4","±2.2"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","5.1%","5.8%","3.7%","4.5%","6.7%","2.9%"
"        Margin of Error","±0.3","±0.4","±0.5","±0.5","±1.1","±0.6"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","12.2%","17.4%","8.7%","7.7%","2.7%","3.3%"
"        Margin of Error","±0.5","±0.8","±0.8","±0.8","±0.8","±0.8"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","15.0%","17.9%","17.5%","9.1%","9.3%","8.7%"
"        Margin of Error","±0.4","±0.6","±1.1","±0.7","±1.7","±1.6"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.2%","5.8%","8.6%","3.8%","9.3%","7.2%"
"        Margin of Error","±0.3","±0.4","±1.0","±0.5","±1.4","±1.5"
"Wyoming County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","18,288","5,818","3,521","3,706","2,669","2,574"
"        Margin of Error","±563","±426","±339","±376","±298","±253"
"    Employee of private company workers","","","","","",""
"        Estimate","59.8%","46.0%","45.7%","69.4%","72.4%","83.4%"
"        Margin of Error","±2.3","±4.2","±5.6","±3.7","±5.5","±4.4"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","5.0%","6.2%","2.5%","7.5%","6.0%","1.1%"
"        Margin of Error","±1.1","±1.6","±1.8","±3.0","±3.4","±0.6"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.0%","16.4%","11.7%","5.0%","1.0%","2.6%"
"        Margin of Error","±1.5","±2.9","±4.6","±2.9","±1.0","±2.0"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","19.3%","24.0%","32.4%","16.3%","7.8%","7.0%"
"        Margin of Error","±1.6","±2.9","±5.2","±3.6","±2.6","±3.0"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.9%","7.4%","7.6%","1.9%","12.7%","5.9%"
"        Margin of Error","±1.3","±1.8","±2.6","±0.9","±4.4","±3.4"
"Yates County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","10,892","3,468","2,292","1,909","1,437","1,786"
"        Margin of Error","±370","±286","±296","±237","±253","±238"
"    Employee of private company workers","","","","","",""
"        Estimate","51.6%","28.6%","49.2%","66.2%","53.2%","82.1%"
"        Margin of Error","±3.2","±3.8","±6.7","±6.3","±9.9","±5.2"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","4.0%","4.9%","2.4%","2.6%","5.1%","5.0%"
"        Margin of Error","±0.9","±1.7","±1.5","±1.5","±3.5","±2.9"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","14.5%","22.2%","21.7%","14.0%","1.3%","1.6%"
"        Margin of Error","±2.3","±4.6","±6.2","±4.8","±1.5","±1.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","14.6%","25.1%","13.7%","12.5%","7.9%","2.9%"
"        Margin of Error","±2.1","±4.5","±5.2","±3.4","±4.1","±1.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","15.3%","19.1%","13.0%","4.8%","32.6%","8.3%"
"        Margin of Error","±2.5","±3.7","±3.8","±2.2","±10.6","±3.9"
